ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
106,British Championship,1898-04-02,Scotland,1,3,England,,TRUE
107,British Championship,1899-02-18,England,13,2,Northern Ireland,,TRUE
108,British Championship,1899-03-04,Northern Ireland,1,0,Wales,,TRUE
109,British Championship,1899-03-18,Wales,0,6,Scotland,,TRUE
110,British Championship,1899-03-20,England,4,0,Wales,,TRUE
111,British Championship,1899-04-08,England,2,1,Scotland,,TRUE
112,British Championship,03/02/1900,Scotland,5,2,Wales,,TRUE
113,British Championship,24/02/1900,Wales,2,0,Northern Ireland,,TRUE
114,British Championship,17/03/1900,Northern Ireland,0,2,England,,TRUE
115,British Championship,26/03/1900,Wales,1,1,England,,TRUE
116,British Championship,07/04/1900,Scotland,4,1,England,,TRUE
117,British Championship,02/03/1901,Wales,1,1,Scotland,,TRUE
118,British Championship,09/03/1901,England,3,0,Northern Ireland,,TRUE
119,British Championship,18/03/1901,England,6,0,Wales,,TRUE
120,British Championship,23/03/1901,Northern Ireland,0,1,Wales,,TRUE
121,British Championship,30/03/1901,England,2,2,Scotland,,TRUE
122,British Championship,22/02/1902,Wales,0,3,Northern Ireland,,TRUE
123,British Championship,03/03/1902,Wales,0,0,England,,TRUE
124,British Championship,15/03/1902,Scotland,5,1,Wales,,TRUE
125,British Championship,22/03/1902,Northern Ireland,0,1,England,,TRUE
126,British Championship,03/05/1902,England,2,2,Scotland,,TRUE
127,Friendly,20/07/1902,Uruguay,0,6,Argentina,,TRUE
128,British Championship,14/02/1903,England,4,0,Northern Ireland,,TRUE
129,British Championship,02/03/1903,England,2,1,Wales,,TRUE
130,British Championship,09/03/1903,Wales,0,1,Scotland,,TRUE
131,British Championship,28/03/1903,Northern Ireland,2,0,Wales,,TRUE
132,British Championship,04/04/1903,England,1,2,Scotland,,TRUE
133,Friendly,13/09/1903,Argentina,2,3,Uruguay,,TRUE
134,British Championship,29/02/1904,Wales,2,2,England,,TRUE
135,British Championship,12/03/1904,Northern Ireland,1,3,England,,TRUE
136,British Championship,12/03/1904,Scotland,1,1,Wales,,TRUE
137,British Championship,21/03/1904,Wales,0,1,Northern Ireland,,TRUE
138,British Championship,09/04/1904,Scotland,0,1,England,,TRUE
139,Friendly,01/05/1904,Belgium,3,3,France,,TRUE
140,Friendly,12/02/1905,France,1,0,Switzerland,,TRUE
141,British Championship,25/02/1905,England,1,1,Northern Ireland,,TRUE
142,British Championship,06/03/1905,Wales,3,1,Scotland,,TRUE
143,British Championship,27/03/1905,England,3,1,Wales,,TRUE
144,British Championship,01/04/1905,England,1,0,Scotland,,TRUE
145,British Championship,08/04/1905,Northern Ireland,2,2,Wales,,TRUE
146,Friendly,30/04/1905,Belgium,1,4,Netherlands,,TRUE
147,Friendly,07/05/1905,Belgium,7,0,France,,TRUE
148,Friendly,14/05/1905,Netherlands,4,0,Belgium,,TRUE
149,Copa Lipton,15/08/1905,Argentina,0,0,Uruguay,,TRUE
150,British Championship,17/02/1906,Northern Ireland,0,5,England,,TRUE
151,British Championship,03/03/1906,Scotland,0,2,Wales,,TRUE
152,British Championship,19/03/1906,Wales,0,1,England,,TRUE
153,British Championship,02/04/1906,Wales,4,4,Northern Ireland,,TRUE
154,British Championship,07/04/1906,Scotland,2,1,England,,TRUE
155,Friendly,22/04/1906,France,0,5,Belgium,,TRUE
156,Friendly,29/04/1906,Belgium,5,0,Netherlands,,TRUE
157,Friendly,13/05/1906,Netherlands,2,3,Belgium,,TRUE
158,Copa Lipton,15/08/1906,Uruguay,0,2,Argentina,,TRUE
159,Copa Newton,21/10/1906,Argentina,2,1,Uruguay,,TRUE
160,British Championship,16/02/1907,England,1,0,Northern Ireland,,TRUE
161,British Championship,23/02/1907,Northern Ireland,2,3,Wales,,TRUE
162,British Championship,04/03/1907,Wales,1,0,Scotland,,TRUE
163,British Championship,18/03/1907,England,1,1,Wales,,TRUE
164,British Championship,06/04/1907,England,1,1,Scotland,,TRUE
165,Friendly,14/04/1907,Belgium,1,3,Netherlands,,TRUE
166,Friendly,21/04/1907,Belgium,1,2,France,,TRUE
167,Friendly,09/05/1907,Netherlands,1,2,Belgium,,TRUE
168,British Championship,15/02/1908,Northern Ireland,1,3,England,,TRUE
169,British Championship,07/03/1908,Scotland,2,1,Wales,,TRUE
170,Friendly,08/03/1908,Switzerland,1,2,France,,TRUE
171,British Championship,16/03/1908,Wales,1,7,England,,TRUE
172,Friendly,29/03/1908,Belgium,1,4,Netherlands,,TRUE
173,British Championship,04/04/1908,Scotland,1,1,England,,TRUE
174,Friendly,05/04/1908,Switzerland,5,3,Germany,,TRUE
175,British Championship,11/04/1908,Wales,0,1,Northern Ireland,,TRUE
176,Friendly,12/04/1908,France,1,2,Belgium,,TRUE
177,Friendly,26/04/1908,Netherlands,3,1,Belgium,,TRUE
178,Friendly,10/05/1908,Netherlands,4,1,France,,TRUE
179,Friendly,06/06/1908,Austria,1,6,England,,TRUE
180,Friendly,07/06/1908,Austria,3,2,Germany,,TRUE
181,Friendly,08/06/1908,Austria,1,11,England,,TRUE
182,Friendly,10/06/1908,Hungary,0,7,England,,TRUE
183,Friendly,13/06/1908,Czechoslovakia,0,4,England,,TRUE
184,Copa Lipton,15/08/1908,Uruguay,2,2,Argentina,,TRUE
185,Copa Newton,13/09/1908,Argentina,2,1,Uruguay,,TRUE
186,Copa Premio Honor Argentino,04/10/1908,Argentina,0,1,Uruguay,,TRUE
187,Friendly,25/10/1908,Netherlands,5,3,Sweden,,TRUE
188,Friendly,26/10/1908,Belgium,2,1,Sweden,,TRUE
189,British Championship,13/02/1909,England,4,0,Northern Ireland,,TRUE
190,British Championship,01/03/1909,Wales,3,2,Scotland,,TRUE
191,British Championship,15/03/1909,England,2,0,Wales,,TRUE
192,British Championship,20/03/1909,Northern Ireland,2,3,Wales,,TRUE
193,Friendly,21/03/1909,Belgium,1,4,Netherlands,,TRUE
194,British Championship,03/04/1909,England,2,0,Scotland,,TRUE
195,Friendly,04/04/1909,Germany,1,0,Switzerland,,TRUE
196,Friendly,04/04/1909,Hungary,3,3,Germany,,TRUE
197,Friendly,25/04/1909,Netherlands,4,1,Belgium,,TRUE
198,Friendly,09/05/1909,Belgium,5,2,France,,TRUE
199,Friendly,29/05/1909,Hungary,2,4,England,,TRUE
200,Friendly,31/05/1909,Hungary,2,8,England,,TRUE
201,Friendly,01/06/1909,Austria,1,8,England,,TRUE
202,Copa Lipton,15/08/1909,Argentina,2,1,Uruguay,,TRUE
203,Copa Newton,19/09/1909,Uruguay,2,2,Argentina,,TRUE
204,Copa Premio Honor Argentino,10/10/1909,Argentina,3,1,Uruguay,,TRUE
205,British Championship,12/02/1910,Northern Ireland,1,1,England,,TRUE
206,British Championship,05/03/1910,Scotland,1,0,Wales,,TRUE
207,Friendly,13/03/1910,Belgium,3,2,Netherlands,,TRUE
208,British Championship,14/03/1910,Wales,0,1,England,,TRUE
209,British Championship,02/04/1910,Scotland,2,0,England,,TRUE
210,Friendly,03/04/1910,France,0,4,Belgium,,TRUE
211,Friendly,03/04/1910,Switzerland,2,3,Germany,,TRUE
212,Friendly,10/04/1910,Netherlands,7,0,Belgium,,TRUE
213,British Championship,11/04/1910,Wales,4,1,Northern Ireland,,TRUE
214,Friendly,24/04/1910,Netherlands,4,2,Germany,,TRUE
215,Friendly,15/05/1910,Italy,6,2,France,,TRUE
216,Friendly,16/05/1910,Germany,0,3,Belgium,,TRUE
217,Friendly,27/05/1910,Argentina,3,1,Chile,,TRUE
218,Friendly,29/05/1910,Chile,0,3,Uruguay,,FALSE
219,Friendly,05/06/1910,Argentina,5,1,Chile,,TRUE
220,Friendly,12/06/1910,Argentina,4,1,Uruguay,,TRUE
221,Copa Lipton,15/08/1910,Uruguay,3,1,Argentina,,TRUE
222,Friendly,11/09/1910,Chile,0,3,Argentina,,TRUE
223,Friendly,16/10/1910,Germany,1,2,Netherlands,,TRUE
224,Copa Premio Honor Argentino,13/11/1910,Argentina,1,1,Uruguay,,TRUE
225,Copa Premio Honor Argentino,27/11/1910,Argentina,2,6,Uruguay,,TRUE
226,Friendly,01/01/1911,France,0,3,Hungary,,TRUE
227,Friendly,08/01/1911,Switzerland,2,0,Hungary,,TRUE
228,British Championship,28/01/1911,Northern Ireland,1,2,Wales,,TRUE
229,British Championship,11/02/1911,England,2,1,Northern Ireland,,TRUE
230,British Championship,06/03/1911,Wales,2,2,Scotland,,TRUE
231,British Championship,13/03/1911,England,3,0,Wales,,TRUE
232,Friendly,19/03/1911,Belgium,1,5,Netherlands,,TRUE
233,Friendly,26/03/1911,Germany,6,2,Switzerland,,TRUE
234,British Championship,01/04/1911,England,1,1,Scotland,,TRUE
235,Friendly,02/04/1911,Netherlands,3,1,Belgium,,TRUE
236,Friendly,09/04/1911,France,2,2,Italy,,TRUE
237,Friendly,23/04/1911,Belgium,2,1,Germany,,TRUE
238,Friendly,23/04/1911,Switzerland,5,2,France,,TRUE
239,Friendly,30/04/1911,Belgium,7,1,France,,TRUE
240,Friendly,07/05/1911,Italy,2,2,Switzerland,,TRUE
241,Friendly,21/05/1911,Switzerland,3,0,Italy,,TRUE
242,Friendly,18/06/1911,Sweden,2,4,Germany,,TRUE
243,Copa Lipton,15/08/1911,Argentina,0,2,Uruguay,,TRUE
244,Copa Newton,17/09/1911,Uruguay,2,3,Argentina,,TRUE
245,Copa Premio Honor Uruguayo,08/10/1911,Uruguay,1,1,Argentina,,TRUE
246,Friendly,09/10/1911,Germany,1,2,Austria,,TRUE
247,Copa Premio Honor Argentino,22/10/1911,Argentina,2,0,Uruguay,,TRUE
248,Friendly,29/10/1911,Germany,1,3,Sweden,,TRUE
249,Friendly,29/10/1911,Hungary,9,0,Switzerland,,TRUE
250,Friendly,29/10/1911,Luxembourg,1,4,France,,TRUE
251,Copa Premio Honor Uruguayo,29/10/1911,Uruguay,3,0,Argentina,,TRUE
252,Friendly,17/12/1911,Germany,1,4,Hungary,,TRUE
253,Friendly,28/01/1912,France,1,1,Belgium,,TRUE
254,British Championship,10/02/1912,Northern Ireland,1,6,England,,TRUE
255,Friendly,10/02/1912,France,7,0,Catalonia,,TRUE
256,Friendly,18/02/1912,France,4,1,Switzerland,,TRUE
257,Friendly,20/02/1912,Belgium,9,2,Switzerland,,TRUE
258,British Championship,02/03/1912,Scotland,1,0,Wales,,TRUE
259,Friendly,10/03/1912,Belgium,1,2,Netherlands,,TRUE
260,British Championship,11/03/1912,Wales,0,2,England,,TRUE
261,Friendly,17/03/1912,Italy,3,4,France,,TRUE
262,British Championship,23/03/1912,Scotland,1,1,England,,TRUE
263,Friendly,24/03/1912,Netherlands,5,5,Germany,,TRUE
264,British Championship,13/04/1912,Wales,2,3,Northern Ireland,,TRUE
265,Friendly,14/04/1912,Hungary,4,4,Germany,,TRUE
266,Friendly,28/04/1912,Netherlands,4,3,Belgium,,TRUE
267,Friendly,05/05/1912,Switzerland,1,2,Germany,,TRUE
268,Friendly,05/07/1912,Netherlands,3,1,Austria,,FALSE
269,Copa Lipton,15/08/1912,Uruguay,2,0,Argentina,,TRUE
270,Copa Premio Honor Uruguayo,25/08/1912,Uruguay,3,0,Argentina,,TRUE
271,Copa Premio Honor Argentino,22/09/1912,Argentina,0,1,Uruguay,,TRUE
272,Copa Newton,06/10/1912,Argentina,3,3,Uruguay,,TRUE
273,Friendly,06/10/1912,Denmark,3,1,Germany,,TRUE
274,Friendly,17/11/1912,Germany,2,3,Netherlands,,TRUE
275,Friendly,01/12/1912,Uruguay,1,3,Argentina,,TRUE
276,Friendly,01/12/1912,Catalonia,1,0,France,,TRUE
277,Friendly,12/01/1913,France,1,0,Italy,,TRUE
278,British Championship,18/01/1913,Northern Ireland,0,1,Wales,,TRUE
279,British Championship,15/02/1913,Northern Ireland,2,1,England,,TRUE
280,Friendly,16/02/1913,Belgium,3,0,France,,TRUE
281,British Championship,03/03/1913,Wales,0,0,Scotland,,TRUE
282,Friendly,09/03/1913,Belgium,3,3,Netherlands,,TRUE
283,Friendly,09/03/1913,Switzerland,1,4,France,,TRUE
284,British Championship,17/03/1913,England,4,3,Wales,,TRUE
285,British Championship,05/04/1913,England,1,0,Scotland,,TRUE
286,Friendly,20/04/1913,France,8,0,Luxembourg,,TRUE
287,Friendly,20/04/1913,Netherlands,2,4,Belgium,,TRUE
288,Friendly,01/05/1913,Italy,1,0,Belgium,,TRUE
289,Friendly,04/05/1913,Switzerland,1,2,Belgium,,TRUE
290,Friendly,18/05/1913,Germany,1,2,Switzerland,,TRUE
291,Friendly,25/05/1913,Denmark,8,0,Sweden,,TRUE
292,Friendly,15/06/1913,Argentina,1,1,Uruguay,,TRUE
293,Friendly,09/07/1913,Argentina,2,1,Uruguay,,TRUE
294,Copa Lipton,15/08/1913,Argentina,4,0,Uruguay,,TRUE
295,Copa Premio Honor Argentino,31/08/1913,Argentina,2,0,Uruguay,,TRUE
296,Friendly,21/09/1913,Chile,0,2,Argentina,,TRUE
297,Friendly,05/10/1913,Sweden,0,10,Denmark,,TRUE
298,Copa Premio Honor Uruguayo,05/10/1913,Uruguay,1,0,Argentina,,TRUE
299,Friendly,26/10/1913,Germany,1,4,Denmark,,TRUE
300,Copa Newton,26/10/1913,Uruguay,1,0,Argentina,,TRUE
301,Friendly,02/11/1913,Belgium,2,0,Switzerland,,TRUE
302,Friendly,23/11/1913,Belgium,6,2,Germany,,TRUE
303,British Championship,19/01/1914,Wales,1,2,Northern Ireland,,TRUE
304,Friendly,25/01/1914,France,4,3,Belgium,,TRUE
305,Friendly,08/02/1914,Luxembourg,5,4,France,,TRUE
306,British Championship,14/02/1914,England,0,3,Northern Ireland,,TRUE
307,British Championship,28/02/1914,Scotland,0,0,Wales,,TRUE
308,Friendly,08/03/1914,France,2,2,Switzerland,,TRUE
309,Friendly,15/03/1914,Belgium,2,4,Netherlands,,TRUE
310,British Championship,16/03/1914,Wales,0,2,England,,TRUE
311,Friendly,29/03/1914,Italy,2,0,France,,TRUE
312,Friendly,05/04/1914,Italy,1,1,Switzerland,,TRUE
313,Friendly,05/04/1914,Netherlands,4,4,Germany,,TRUE
314,British Championship,14/04/1914,Scotland,3,1,England,,TRUE
315,Friendly,26/04/1914,Netherlands,4,2,Belgium,,TRUE
316,Friendly,17/05/1914,Denmark,4,3,Netherlands,,TRUE
317,Friendly,17/05/1914,Switzerland,0,1,Italy,,TRUE
318,Friendly,31/05/1914,Hungary,5,1,France,,TRUE
319,Copa Premio Honor Uruguayo,30/08/1914,Uruguay,3,2,Argentina,,TRUE
320,Copa Premio Honor Argentino,13/09/1914,Argentina,2,1,Uruguay,,TRUE
321,Friendly,20/09/1914,Argentina,3,0,Brazil,,TRUE
322,Copa Roca,27/09/1914,Argentina,0,1,Brazil,,TRUE
323,Friendly,31/01/1915,Italy,3,1,Switzerland,,TRUE
324,Friendly,06/06/1915,Denmark,2,0,Sweden,,TRUE
325,Copa Premio Honor Uruguayo,18/07/1915,Uruguay,2,3,Argentina,,TRUE
326,Copa Lipton,15/08/1915,Argentina,2,1,Uruguay,,TRUE
327,Copa Newton,12/09/1915,Uruguay,2,0,Argentina,,TRUE
328,Friendly,19/09/1915,Denmark,8,1,Norway,,TRUE
329,Friendly,31/10/1915,Sweden,0,2,Denmark,,TRUE
330,Friendly,04/06/1916,Denmark,2,0,Sweden,,TRUE
331,Friendly,25/06/1916,Norway,0,2,Denmark,,TRUE
332,Copa America,02/07/1916,Chile,0,4,Uruguay,,FALSE
333,Copa America,06/07/1916,Argentina,6,1,Chile,,TRUE
334,Copa America,08/07/1916,Brazil,1,1,Chile,,FALSE
335,Copa America,10/07/1916,Argentina,1,1,Brazil,,TRUE
336,Friendly,12/07/1916,Argentina,1,0,Chile,,TRUE
337,Copa America,12/07/1916,Brazil,1,2,Uruguay,,FALSE
338,Friendly,14/07/1916,Uruguay,4,1,Chile,,TRUE
339,Copa America,17/07/1916,Argentina,0,0,Uruguay,,TRUE
340,Friendly,18/07/1916,Uruguay,0,1,Brazil,,TRUE
341,Copa Newton,15/08/1916,Argentina,3,1,Uruguay,,TRUE
342,Copa Lipton,15/08/1916,Uruguay,1,2,Argentina,,TRUE
343,Friendly,20/08/1916,Sweden,2,3,United States,,TRUE
344,Friendly,03/09/1916,Norway,1,1,United States,,TRUE
345,Friendly,01/10/1916,Argentina,7,2,Uruguay,,TRUE
346,Copa Premio Honor Uruguayo,01/10/1916,Uruguay,0,1,Argentina,,TRUE
347,Friendly,08/10/1916,Sweden,4,0,Denmark,,TRUE
348,Friendly,15/10/1916,Denmark,8,0,Norway,,TRUE
349,Friendly,29/10/1916,Uruguay,3,1,Argentina,,TRUE
350,Friendly,07/05/1917,Japan,2,15,Philippines,,TRUE
351,Friendly,03/06/1917,Denmark,1,1,Sweden,,TRUE
352,Friendly,17/06/1917,Norway,1,2,Denmark,,TRUE
353,Copa Premio Honor Uruguayo,18/07/1917,Uruguay,0,2,Argentina,,TRUE
354,Copa Lipton,15/08/1917,Argentina,1,0,Uruguay,,TRUE
355,Copa Newton,02/09/1917,Uruguay,1,0,Argentina,,TRUE
356,Copa America,30/09/1917,Uruguay,4,0,Chile,,TRUE
357,Copa America,03/10/1917,Argentina,4,2,Brazil,,FALSE
358,Copa America,06/10/1917,Argentina,1,0,Chile,,FALSE
359,Friendly,07/10/1917,Denmark,12,0,Norway,,TRUE
360,Copa America,07/10/1917,Uruguay,4,0,Brazil,,TRUE
361,Copa America,12/10/1917,Brazil,5,0,Chile,,FALSE
362,Friendly,14/10/1917,Sweden,1,2,Denmark,,TRUE
363,Copa America,14/10/1917,Uruguay,1,0,Argentina,,TRUE
364,Friendly,16/10/1917,Uruguay,3,1,Brazil,,TRUE
365,Friendly,23/12/1917,Switzerland,0,1,Austria,,TRUE
366,Friendly,26/12/1917,Switzerland,3,2,Austria,,TRUE
367,Friendly,09/05/1918,Austria,5,1,Switzerland,,TRUE
368,Friendly,12/05/1918,Hungary,2,1,Switzerland,,TRUE
369,Friendly,02/06/1918,Denmark,3,0,Sweden,,TRUE
370,Friendly,16/06/1918,Norway,3,1,Denmark,,TRUE
371,Copa Premio Honor Uruguayo,18/07/1918,Uruguay,1,1,Argentina,,TRUE
372,Copa Premio Honor Uruguayo,28/07/1918,Uruguay,3,1,Argentina,,TRUE
373,Copa Premio Honor Argentino,15/08/1918,Argentina,0,0,Uruguay,,TRUE
374,Copa Premio Honor Argentino,25/08/1918,Argentina,2,1,Uruguay,,TRUE
375,Copa Lipton,20/09/1918,Uruguay,1,1,Argentina,,TRUE
376,Copa Newton,29/09/1918,Argentina,2,0,Uruguay,,TRUE
377,Friendly,06/10/1918,Denmark,4,0,Norway,,TRUE
378,Friendly,20/10/1918,Sweden,1,2,Denmark,,TRUE
379,Friendly,09/03/1919,Belgium,2,2,France,,TRUE
380,Copa America,11/05/1919,Brazil,6,0,Chile,,TRUE
381,Friendly,11/05/1919,Paraguay,1,5,Argentina,,TRUE
382,Copa America,13/05/1919,Argentina,2,3,Uruguay,,FALSE
383,Friendly,15/05/1919,Paraguay,0,3,Argentina,,TRUE
384,Copa America,17/05/1919,Chile,0,2,Uruguay,,FALSE
385,Copa America,18/05/1919,Brazil,3,1,Argentina,,TRUE
386,Friendly,21/05/1919,Paraguay,1,2,Argentina,,TRUE
387,Copa America,22/05/1919,Argentina,4,1,Chile,,FALSE
388,Friendly,24/05/1919,Paraguay,1,2,Argentina,,TRUE
389,Copa America,26/05/1919,Brazil,2,2,Uruguay,,TRUE
390,Copa America,29/05/1919,Brazil,1,0,Uruguay,,TRUE
391,Friendly,01/06/1919,Brazil,3,3,Argentina,,TRUE
392,Friendly,05/06/1919,Denmark,3,0,Sweden,,TRUE
393,Friendly,09/06/1919,Netherlands,3,1,Sweden,,TRUE
394,Friendly,12/06/1919,Denmark,5,1,Norway,,TRUE
395,Copa Premio Honor Uruguayo,18/07/1919,Uruguay,4,1,Argentina,,TRUE
396,Friendly,24/08/1919,Sweden,4,1,Netherlands,,TRUE
397,Copa Newton,24/08/1919,Uruguay,2,1,Argentina,,TRUE
398,Friendly,31/08/1919,Norway,1,1,Netherlands,,TRUE
399,Copa Lipton,07/09/1919,Argentina,1,2,Uruguay,,TRUE
400,Friendly,21/09/1919,Norway,3,2,Denmark,,TRUE
401,Friendly,12/10/1919,Sweden,3,0,Denmark,,TRUE
402,Copa Premio Honor Argentino,19/10/1919,Argentina,6,1,Uruguay,,TRUE
403,British Championship,25/10/1919,Northern Ireland,1,1,England,,TRUE
404,Friendly,07/12/1919,Uruguay,4,2,Argentina,,TRUE
405,Friendly,18/01/1920,Italy,9,4,France,,TRUE
406,British Championship,14/02/1920,Northern Ireland,2,2,Wales,,TRUE
407,British Championship,26/02/1920,Wales,1,1,Scotland,,TRUE
408,Friendly,29/02/1920,Switzerland,0,2,France,,TRUE
409,British Championship,15/03/1920,England,1,2,Wales,,TRUE
